
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 POST /api/public/auth/signup 200 in 175ms (next.js: 4ms, application-code: 171ms)
 POST /api/public/auth/signup 200 in 204ms (next.js: 6ms, application-code: 198ms)
 POST /api/public/wishes 400 in 23ms (next.js: 8ms, application-code: 15ms)
 POST /api/public/wishes 400 in 23ms (next.js: 8ms, application-code: 15ms)
 POST /api/public/wishes 400 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/public/wishes 200 in 115ms (next.js: 4ms, application-code: 111ms)
 GET /api/public/wishes/w_29 200 in 1407ms (next.js: 1371ms, application-code: 36ms)
 POST /api/public/wishes/w_29/support 200 in 1326ms (next.js: 1273ms, application-code: 53ms)
 POST /api/public/wishes/w_29/support 200 in 122ms (next.js: 94ms, application-code: 28ms)
 POST /api/public/wishes/w_29/support 200 in 119ms (next.js: 86ms, application-code: 33ms)
 GET /api/public/wallet 200 in 21ms (next.js: 5ms, application-code: 16ms)
 POST /api/public/wishes/w_29/bokju 200 in 1666ms (next.js: 1603ms, application-code: 63ms)
 GET /api/public/wallet 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/public/wallet?userId=49 200 in 19ms (next.js: 5ms, application-code: 14ms)
 POST /api/public/wishes/w_29/comments 400 in 1375ms (next.js: 1361ms, application-code: 14ms)
 POST /api/public/wishes/w_29/comments 200 in 184ms (next.js: 94ms, application-code: 90ms)
 GET /api/public/wishes?sort=latest 200 in 28ms (next.js: 5ms, application-code: 23ms)
 GET /api/public/wishes?sort=popular 200 in 41ms (next.js: 9ms, application-code: 33ms)
 GET /api/public/wishes/w_10 200 in 118ms (next.js: 99ms, application-code: 20ms)
 GET /api/public/wishes/w_29 200 in 22ms (next.js: 7ms, application-code: 15ms)
 GET /api/public/wishes/w_29 200 in 105ms (next.js: 92ms, application-code: 13ms)
 POST /api/public/wishes/w_29/report 404 in 1114ms (next.js: 994ms, application-code: 120ms)
 POST /api/public/reports 200 in 443ms (next.js: 424ms, application-code: 20ms)
 GET /api/public/healing-quotes 200 in 28ms (next.js: 15ms, application-code: 13ms)
 GET /api/public/wishes/my 401 in 41ms (next.js: 33ms, application-code: 8ms)
 GET /api/public/wallet?userId=1 200 in 58ms (next.js: 41ms, application-code: 16ms)
 GET /api/public/pass/policies 200 in 48ms (next.js: 29ms, application-code: 18ms)
 GET /api/public/page-configs/home 200 in 51ms (next.js: 33ms, application-code: 18ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 40ms (next.js: 32ms, application-code: 8ms)
 GET /api/public/attendance/status?userId=1 200 in 27ms (next.js: 19ms, application-code: 8ms)
 GET /api/public/intro-config 200 in 24ms (next.js: 15ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 28ms (next.js: 7ms, application-code: 21ms)
 GET /api/public/pass/status?userId=1 200 in 22ms (next.js: 7ms, application-code: 15ms)
 GET /api/public/attendance/status?userId=1 200 in 17ms (next.js: 6ms, application-code: 11ms)
 GET /api/public/wallet?userId=1 200 in 15ms (next.js: 3ms, application-code: 12ms)
